col1,col2,col3,col4,target
-0.10648,-0.76771,7.7575,0.64179,1
1.7317,-0.34765,4.1905,-0.99138,1
4.2969,7.617,-2.3874,-0.96164,1
2.5068,1.1588,3.9249,0.12585,1
4.0296,2.6756,0.80685,0.71679,1
0.96788,7.1907,1.2798,-2.4565,1
3.5761,9.7753,-3.9795,-3.4638,1
2.2928,9.0386,-3.2417,-1.2991,1
5.438,9.4669,-4.9417,-3.9202,1
4.3937,0.35798,2.0416,1.2004,1
4.1757,10.2615,-3.8552,-4.3056,1
2.229,9.6325,-3.1123,-2.7164,1
4.3848,-3.0729,3.0423,1.2741,1
4.0948,-2.9674,2.3689,0.75429,1
1.162,10.2926,-1.2821,-4.0392,1
3.8832,6.4023,-2.432,-0.98363,1
2.1881,2.7356,1.3278,-0.1832,1
2.3066,3.5364,0.57551,0.41938,1
1.4578,-0.08485,4.1785,0.59136,1
-0.048008,-1.6037,8.4756,0.75558,1
4.1927,-3.2674,2.5839,0.21766,1
2.6946,6.7976,-0.40301,0.44912,1
2.4673,1.3926,1.7125,0.41421,1
4.1654,-3.4495,3.643,1.0879,1
3.9294,1.4112,1.8076,0.89782,1
4.6499,7.6336,-1.9427,-0.37458,1
5.1776,8.2316,-3.2511,-1.5694,1
0.96574,8.393,-1.361,-1.4659,1
3.577,2.4004,1.8908,0.73231,1
1.2999,2.5762,2.0107,-0.18967,1
1.6406,3.5488,1.3964,-0.36424,1
3.7321,-3.884,3.3577,-0.0060486,1
2.9695,5.6222,0.27561,-1.1556,1
3.8962,-4.7904,3.3954,-0.53751,1
3.6216,8.6661,-2.8073,-0.44699,1
5.086,3.2798,-1.2701,1.1189,1
2.8523,9.0096,-3.761,-3.3371,1
2.565,8.633,-2.9941,-1.3082,1
3.9719,1.0367,0.75973,1.0013,1
2.6719,3.0646,0.37158,0.58619,1
4.0405,0.51524,1.0279,1.106,1
2.9163,10.8306,-3.3437,-4.122,1
1.5099,0.039307,6.2332,-0.30346,1
5.681,7.795,-2.6848,-0.92544,1
2.3969,0.23589,4.8477,1.437,1
4.8265,0.80287,1.6371,1.1875,1
0.21084,9.4359,-0.094543,-1.859,1
5.2418,10.5388,-4.1174,-4.2797,1
1.2616,4.4303,-1.3335,-1.7517,1
0.88298,0.66009,6.0096,-0.43277,1
0.85574,0.0082678,6.6042,-0.53104,1
5.4944,1.5478,0.041694,1.9284,1
0.96414,5.616,2.2138,-0.12501,1
2.2517,-5.1422,4.2916,-1.2487,1
0.77445,9.0552,-2.4089,-1.3884,1
2.3136,10.6651,-3.5288,-4.7672,1
5.262,3.9834,-1.5572,1.0103,1
3.359,9.8022,-3.8209,-3.7133,1
3.2051,8.6889,-2.9033,-0.7819,1
2.6917,10.8161,-3.3,-4.2888,1
1.5478,9.1814,-1.6326,-1.7375,1
4.7432,2.1086,0.1368,1.6543,1
1.3264,1.0326,5.6566,-0.41337,1
4.0713,10.4023,-4.1722,-4.7582,1
