col1,col2,col3,col4,target
3.866,-2.6383,1.9242,0.10645,0
3.4566,9.5228,-4.0112,-3.5944,0
0.32924,-4.4552,4.5718,-0.9888,0
4.3684,9.6718,-3.9606,-3.1625,0
3.2032,5.7588,-0.75345,-0.61251,0
1.5356,9.1772,-2.2718,-0.73535,0
1.2247,8.7779,-2.2135,-0.80647,0
1.8993,7.6625,0.15394,-3.1108,0
3.404,8.7261,-2.9915,-0.57242,0
4.6765,-3.3895,3.4896,1.4771,0
0.80355,2.8473,4.3439,0.6017,0
5.7867,7.8902,-2.6196,-0.48708,0
3.9362,10.1622,-3.8235,-4.0172,0
4.4338,9.887,-4.6795,-3.7483,0
0.7057,-5.4981,8.3368,-2.8715,0
-0.38214,8.3909,2.1624,-3.7405,0
6.5633,9.8187,-4.4113,-3.2258,0
1.4884,3.6274,3.308,0.48921,0
-0.96511,9.4111,1.7305,-4.8629,0
2.4391,6.4417,-0.80743,-0.69139,0
2.6881,6.0195,-0.46641,-0.69268,0
3.6289,0.81322,1.6277,0.77627,0
3.4805,9.7008,-3.7541,-3.4379,0
4.1711,8.722,-3.0224,-0.59699,0
2.8561,6.9176,-0.79372,0.48403,0
-0.7869,9.5663,-3.7867,-7.5034,0
2.0843,6.6258,0.48382,-2.2134,0
5.262,3.9834,-1.5572,1.0103,0
2.549,6.1499,-1.1605,-1.2371,0
4.8265,0.80287,1.6371,1.1875,0
2.5635,6.7769,-0.61979,0.38576,0
3.1377,-4.1096,4.5701,0.98963,0
-0.78289,11.3603,-0.37644,-7.0495,0
2.888,0.44696,4.5907,-0.24398,0
0.12326,8.9848,-0.9351,-2.4332,0
3.7935,7.9853,-2.5477,-1.872,0
0.049175,6.1437,1.7828,-0.72113,0
2.8033,9.0862,-3.3668,-1.0224,0
4.0296,2.6756,0.80685,0.71679,0
0.87603,6.8141,0.84198,-0.17156,0
1.4806,7.6377,-2.7876,-1.0341,0
4.3064,8.2068,-2.7824,-1.4336,0
-0.64472,-4.6062,8.347,-2.7099,0
2.1616,-6.8804,8.1517,-0.081048,0
3.82,10.9279,-4.0112,-5.0284,0
3.3669,-5.1856,3.6935,-1.1427,0
5.1129,-0.49871,0.62863,1.1189,0
3.3397,-4.6145,3.9823,-0.23751,0
2.3136,10.6651,-3.5288,-4.7672,0
-1.8584,7.886,-1.6643,-1.8384,0
3.106,9.5414,-4.2536,-4.003,0
3.9922,-4.4676,3.7304,-0.1095,0
3.2351,9.647,-3.2074,-2.5948,0
1.7819,6.9176,-1.2744,-1.5759,0
2.5331,2.9135,-0.822,-0.12243,0
3.8969,7.4163,-1.8245,0.14007,0
2.8969,0.70768,2.29,1.8663,0
3.4642,10.6878,-3.4071,-4.109,0
4.0713,10.4023,-4.1722,-4.7582,0
-0.91718,9.9884,1.1804,-5.2263,0
-2.343,12.9516,3.3285,-5.9426,0
3.7818,-2.8846,2.2558,-0.15734,0
5.1302,8.6703,-2.8913,-1.5086,0
0.4339,5.5395,2.033,-0.40432,0
-1.0401,9.3987,0.85998,-5.3336,0
4.1605,11.2196,-3.6136,-4.0819,0
5.032,8.2026,-2.6256,-1.0341,0
2.0911,0.94358,4.5512,1.234,0
3.9232,-3.2467,3.4579,0.83705,0
0.5195,-3.2633,3.0895,-0.9849,0
3.6277,0.9829,0.68861,0.63403,0
5.0691,0.21313,0.20278,1.2095,0
1.9358,8.1654,-0.023425,-2.2586,0
2.486,-0.99533,5.3404,-0.15475,0
2.2634,-4.4862,3.6558,-0.61251,0
1.3566,4.2358,2.1341,0.3211,0
3.5499,8.6165,-3.2794,-1.2009,0
4.8851,1.5995,-0.00029081,1.6401,0
1.1166,8.6496,-0.96252,-1.8112,0
1.0235,6.901,-2.0062,-2.7125,0
