col1,col2,col3,col4,target
4.5459,8.1674,-2.4586,-1.4621,0
0.32924,-4.4552,4.5718,-0.9888,0
4.3684,9.6718,-3.9606,-3.1625,0
3.5912,3.0129,0.72888,0.56421,0
1.5356,9.1772,-2.2718,-0.73535,0
2.6719,3.0646,0.37158,0.58619,0
0.80355,2.8473,4.3439,0.6017,0
3.9362,10.1622,-3.8235,-4.0172,0
1.1432,-3.7413,5.5777,-0.63578,0
6.5633,9.8187,-4.4113,-3.2258,0
-0.24811,-0.17797,4.9068,0.15429,0
-0.96511,9.4111,1.7305,-4.8629,0
2.6881,6.0195,-0.46641,-0.69268,0
3.6289,0.81322,1.6277,0.77627,0
4.5679,3.1929,-2.1055,0.29653,0
-0.2062,9.2207,-3.7044,-6.8103,0
-0.7869,9.5663,-3.7867,-7.5034,0
3.9102,6.065,-2.4534,-0.68234,0
1.6349,3.286,2.8753,0.087054,0
4.3239,-4.8835,3.4356,-0.5776,0
4.9264,5.496,-2.4774,-0.50648,0
3.1377,-4.1096,4.5701,0.98963,0
-0.78289,11.3603,-0.37644,-7.0495,0
5.4021,3.1039,-1.1536,1.5651,0
4.6054,-4.0765,2.7587,0.31981,0
3.9529,-2.3548,2.3792,0.48274,0
4.1373,0.49248,1.093,1.8276,0
4.7181,10.0153,-3.9486,-3.8582,0
4.1654,-3.4495,3.643,1.0879,0
3.7935,7.9853,-2.5477,-1.872,0
0.24835,7.6439,0.9885,-0.87371,0
1.1317,3.9647,3.3979,0.84351,0
2.8033,9.0862,-3.3668,-1.0224,0
5.0185,8.5978,-2.9375,-1.281,0
4.0296,2.6756,0.80685,0.71679,0
0.87603,6.8141,0.84198,-0.17156,0
4.1197,-2.7956,2.0707,0.67412,0
4.3064,8.2068,-2.7824,-1.4336,0
2.4486,-6.3175,7.9632,0.20602,0
-0.64472,-4.6062,8.347,-2.7099,0
2.1616,-6.8804,8.1517,-0.081048,0
3.82,10.9279,-4.0112,-5.0284,0
-2.7419,11.4038,2.5394,-5.5793,0
4.5597,-2.4211,2.6413,1.6168,0
5.1129,-0.49871,0.62863,1.1189,0
2.3136,10.6651,-3.5288,-4.7672,0
-1.8584,7.886,-1.6643,-1.8384,0
2.9163,10.8306,-3.3437,-4.122,0
3.2351,9.647,-3.2074,-2.5948,0
4.2188,6.8162,-1.2804,0.76076,0
2.5331,2.9135,-0.822,-0.12243,0
0.9297,-3.7971,4.6429,-0.2957,0
4.0713,10.4023,-4.1722,-4.7582,0
-1.4572,9.1214,1.7425,-5.1241,0
-0.91718,9.9884,1.1804,-5.2263,0
-2.343,12.9516,3.3285,-5.9426,0
3.7818,-2.8846,2.2558,-0.15734,0
3.2697,-4.3414,3.6884,-0.29829,0
5.1302,8.6703,-2.8913,-1.5086,0
4.1605,11.2196,-3.6136,-4.0819,0
5.438,9.4669,-4.9417,-3.9202,0
5.032,8.2026,-2.6256,-1.0341,0
5.2418,10.5388,-4.1174,-4.2797,0
1.7317,-0.34765,4.1905,-0.99138,0
3.8481,10.1539,-3.8561,-4.2228,0
0.5195,-3.2633,3.0895,-0.9849,0
3.8584,0.78425,1.1033,1.7008,0
1.7496,-0.1759,5.1827,1.2922,0
3.6277,0.9829,0.68861,0.63403,0
4.5447,8.2274,-2.4166,-1.5875,0
5.0691,0.21313,0.20278,1.2095,0
1.9358,8.1654,-0.023425,-2.2586,0
3.9479,-3.7723,2.883,0.019813,0
5.0452,3.8964,-1.4304,0.86291,0
4.8851,1.5995,-0.00029081,1.6401,0
1.1166,8.6496,-0.96252,-1.8112,0
0.11739,6.2761,-1.5495,-2.4746,0
4.0552,-2.4583,2.2806,1.0323,0
3.583,-3.7971,3.4391,-0.12501,0
0.19081,9.1297,-3.725,-5.8224,0
3.6582,5.6864,-1.7157,-0.23751,0
2.3925,9.798,-3.0361,-2.8224,0
-1.2537,10.8803,1.931,-4.3237,0
3.2585,-4.4614,3.8024,-0.15087,0
4.5645,-3.6275,2.8684,0.27714,0
1.4578,-0.08485,4.1785,0.59136,0
4.8272,3.0687,0.68604,0.80731,0
-2.0897,10.8265,2.3603,-3.4198,0
4.0026,-3.5943,3.5573,0.26809,0
-0.78689,9.5663,-3.7867,-7.5034,0
4.1757,10.2615,-3.8552,-4.3056,0
5.3063,5.2684,-2.8904,-0.52716,0
2.1721,-0.73874,5.4672,-0.72371,0
6.0919,2.9673,-1.3267,1.4551,0
1.3264,1.0326,5.6566,-0.41337,0
-1.3,10.2678,-2.953,-5.8638,0
-2.2261,12.5398,2.9438,-3.5258,0
4.6464,10.5326,-4.5852,-4.206,0
0.5706,-0.0248,1.2421,-0.5621,0
-2.6479,10.1374,-1.331,-5.4707,0
0.46901,-0.63321,7.3848,0.36507,0
2.7296,2.8701,0.51124,0.5099,0
2.0466,2.03,2.1761,-0.083634,0
3.9994,0.90427,1.1693,1.6892,0
2.3952,9.5083,-3.1783,-3.0086,0
3.2704,6.9321,-1.0456,0.23447,0
2.7744,6.8576,-1.0671,0.075416,0
